"","287590"
"app/roles/EDITOR/users","5"
"app/roles/IFUMember/users","5"
"discussion-forum/my-discussion","5"
"discussion-forum/topic/<num>/india-logs-3-29-942-coronavirus-cases-in-past-24-hours-karnataka-tops-chart-with-most-infections","5"
"upForReview-content-player","5"
"viewer/youtbe/<do_id>","5"
"app/discuss/tags","4"
"app/discussion-forum%3Fpage%3Dhome","4"
"app/discussion-forum/topic/<num>/how-to-use-the-app","4"
"app/discussion-forum/topic/<num>/testing-my-discussion","4"
"app/discussion-forum/topic/<num>/hello-comments-and-feedback","4"
"app/discussion-forum/topic/<num>/one","4"
"app/discussion-forum/topic/<num>/sam-s-first-post","4"
"app/discussion/forum/topic/<num>/test-discussion-post","4"
"app/workallocation/list","4"
"profile-read","4"
"author/content-detail/<do_id>","4"
"app/<do_id>/overview","4"
"app/careers/home/<num>/Check","3"
"app/discuss/Political%20Science","3"
"app/discussion-forum/topic/<num>/testing-more-widget","3"
"app/discussion-forum/topic/<num>/how-to-add-users-in-nodebb","3"
"app/discussion-forum/topic/<num>/testing-tag-selection","3"
"app/discussion-forum/topic/<num>/this-is-sample-for-testing","3"
"app/discussion-forum/topic/<num>/testing-comments-and-feedback","3"
"app/discussion-forum/topic/<num>/hello-testing-12099","3"
"app/discussion-forum/topic/<num>/sam-s-first-post-is-the-hello-your-s","3"
"app/discussion-forum/topic/<num>/checking-recent-tab-123","3"
"app/discussion-forum/topic/<num>/test-discussion","3"
"app/event-hub/home/<num>","3"
"app/events/create-event","3"
"app/roles/MDO%20ADMIN/users","3"
"app/search/home","3"
"assets/configurations/localhost_3000/files/published.pdf","3"
"author/create","3"
"author/home","3"
"create-study-material","3"
"page/competencies","3"
"workspace-create-lesson","3"
"learn/course/<do_id>/batch/<num>","3"
"DraftContent","2"
"app/careers/home/<num>/checking-1","2"
"app/discussion-forum/topic/<num>/sample","2"
"app/discussion-forum/topic/<num>/helloo00000","2"
"app/discussion-forum/topic/<num>/digitalisation-of-apars-in-respect-of-css-officers","2"
"app/discussion-forum/topic/<num>/test-the-tags-deletion","2"
"app/discussion-forum/topic/<num>/<num>","2"
"app/discussion-forum/topic/<num>","2"
"app/discussion-forum/topic/<num>/hello-testing-1234","2"
"app/discussion-forum/topic/<num>/covid-cases","2"
"app/discussion-forum/topic/<num>/why-discussion-forum","2"
"app/discussion-forum/topic/<num>/question-smaple","2"
"app/discussion-forum/topic/<num>/testing-multiple-topics","2"
"app/discussion/forum/topic/<num>/testing-124","2"
"app/feedback/platform_feedback","2"
"app/goals/others","2"
"app/home/about","2"
"app/home/undefined/create-department;<params>","2"
"app/roles/Member/users","2"
"app/roles/REVIEWER/users","2"
"app/workallocation/details/nandiniav91%2B20@gmail.com","2"
"app/workallocation/details/null","2"
"app/workallocation/draft","2"
"author/editor/<do_id>/upload","2"
"draft","2"
"logout","2"
"null/overview","2"
"page/explore","2"
"page/search","2"
"viewer/html","2"
"workspace-content-published","2"
"app/discussion-forum/topic/<num>/testing-widget-discussion","2"
"app/discuss/Economics","1"
"app/discuss/Human%20Resource%20Management%20in%20Government","1"
"app/discuss/my-discussions","1"
"app/discussion-forum/topic/<num>/testing-widget","1"
"app/discussion-forum/topic/<num>/testing-upvote","1"
"app/discussion-forum/topic/<num>/testing-upvote-1","1"
"app/discussion-forum/topic/<num>/sample-general-discussion","1"
"app/discussion-forum/topic/<num>/discussion-related-covid-19","1"
"app/discussion-forum/topic/<num>/about-general-discussion","1"
"app/discussion-forum/topic/<num>/is-covid19-going-to-affect-indian-economy-or-not","1"
"app/discussion-forum/topic/<num>/testing-general-discussion","1"
"app/discussion-forum/topic/<num>/course-testing","1"
"app/discussion-forum/topic/<num>/saaaaaaaaaaaaaaa","1"
"app/discussion-forum/topic/<num>/helloooooooooo","1"
"app/discussion-forum/topic/<num>/testing-1","1"
"app/discussion-forum/topic/<num>/junior-software-developer","1"
"app/discussion-forum/topic/<num>/testing-for-dicussion","1"
"app/discussion-forum/topic/<num>/how","1"
"app/discussion-forum/topic/<num>/filling-up-the-post-of-financial-adviser-js-level","1"
"app/discussion-forum/topic/<num>/checking-recent-tab","1"
"app/discussion-forum/topic/<num>/testing-recent-tab-0967","1"
"app/discussion-forum/topic/<num>/test-recent-tab-1234","1"
"app/discussion-forum/topic/<num>/hello-testing-hari-s","1"
"app/discussion-forum/topic/<num>/testing-tags-options","1"
"app/discussion-forum/topic/<num>/new-post-to-test-tags","1"
"app/discussion-forum/topic/<num>/ias-course-testing","1"
"app/discussion-forum/topic/<num>/testing-2","1"
"app/discussion/forum/tags/tag-discussions","1"
"app/discussion/forum/topic/<num>/when-will-this-covid-pandemic-ends","1"
"app/discussion/forum/topic/<num>/checking-recent-tab-123","1"
"app/frac","1"
"app/globalsearch/learning","1"
"app/home/SPV/create-department;<params>","1"
"app/playlist","1"
"app/playlist/shared/<do_id>","1"
"app/playlist/shared/<do_id>/edit","1"
"app/profile/competency/assessment","1"
"app/profile/learning/history","1"
"app/roles/PUBLISHER/users","1"
"app/search","1"
"app/taxonomy/<slug>/%20Solutions,%20including%20Linux%20as%20Cloud%20O.S.%20of%20Virtual%20Machines-VMs%20%28Virtualisation%29","1"
"app/toc/<do_id>/none2","1"
"app/workallocation","1"
"app/workallocation/create/","1"
"app/workallocation/details/zishan@test.com","1"
"author/my-content","1"
"discussion-forum/all-discussions","1"
"discussion-forum/topic/<num>/testing-widget","1"
"discussion-forum/topic/<num>/ongc-recruitment-2020","1"
"discussion-forum/topic/<num>/test-discussion-post","1"
"joy-themePopup","1"
"reset","1"
